AP    appeal play (out?)
BP    pop up bunt (out)
BG    ground ball bunt (out)
BGDP  bunt grounded into double play (2 out)
BINT  batter interference (out)
BL    line drive bunt (out, nothing)
BOOT  batting out of turn (out)
BP    bunt pop up (out)
BPDP  bunt popped into double play (2 out)
BR    runner hit by batted ball (out)
C     called third strike (out)
COUB  courtesy batter (?)
COUF  courtesy fielder (?)
COUR  courtesy runner (?)
DP    unspecified double play (2 out)
E$    error on $ (out?)
F     fly (out)
FDP   fly ball double play (2 out)
FINT  fan interference (?)
FL    foul (?)
FO    force out (out)
G     ground ball (out)
GDP   ground ball double play (2 out)
GTP   ground ball triple play (3 out)
IF    infield fly rule (?)
INT   interference (?)
IPHR  inside the park home run (score += how many bases + 1)
L     line drive (out)
LDP   lined into double play (2 out)
LTP   lined into triple play (3 out)
MREV  manager challenge of call on the field (out?)
NDP   no double play credited for this play (2 out?)
OBS   obstruction (fielder obstructing a runner) (out?)
P     pop fly (out)
PASS  a runner passed another runner and was called out (out)
R$    relay throw from the initial fielder to $ with no out made (?)
RINT  runner interference (out?)
SF    sacrifice fly (out)
SH    sacrifice hit (bunt) (out)
TH    throw (out?)
TH%   throw to base % (out?)
TP    unspecified triple play (out)
UINT  umpire interference (out?)
UREV  umpire review of call on the field (out?)
